Normal,NORMAL,NSEFO,JSWENERGY,OPTSTK,24Apr2025,560,CE
Normal,NORMAL,NSEFO,JSWENERGY,OPTSTK,24Apr2025,460,PE
Normal,NORMAL,NSEFO,JSWSTEEL,OPTSTK,24Apr2025,900,PE
Normal,NORMAL,NSEFO,JSWSTEEL,OPTSTK,24Apr2025,1100,CE
Normal,NORMAL,NSEFO,JUBLFOOD,OPTSTK,24Apr2025,760,CE
Normal,NORMAL,NSEFO,JUBLFOOD,OPTSTK,24Apr2025,620,PE
Normal,NORMAL,NSEFO,KEI,OPTSTK,24Apr2025,3000,CE
Normal,NORMAL,NSEFO,KPITTECH,OPTSTK,24Apr2025,1300,CE
Normal,NORMAL,NSEFO,LAURUSLABS,OPTSTK,24Apr2025,660,CE
Normal,NORMAL,NSEFO,LODHA,OPTSTK,24Apr2025,1340,CE
Normal,NORMAL,NSEFO,LTIM,OPTSTK,24Apr2025,4800,CE
Normal,NORMAL,NSEFO,LUPIN,OPTSTK,24Apr2025,2180,CE
Normal,NORMAL,NSEFO,M&M,OPTSTK,24Apr2025,2850,CE
Normal,NORMAL,NSEFO,MAXHEALTH,OPTSTK,24Apr2025,1220,CE
Normal,NORMAL,NSEFO,MCX,OPTSTK,24Apr2025,6100,CE
Normal,NORMAL,NSEFO,MGL,OPTSTK,24Apr2025,1420,CE
Normal,NORMAL,NSEFO,MOTHERSON,OPTSTK,24Apr2025,142.5,CE
Normal,NORMAL,NSEFO,MOTHERSON,OPTSTK,24Apr2025,135,CE
Normal,NORMAL,NSEFO,MPHASIS,OPTSTK,24Apr2025,2500,CE
Normal,NORMAL,NSEFO,NBCC,OPTSTK,24Apr2025,100,CE
Normal,NORMAL,NSEFO,NCC,OPTSTK,24Apr2025,230,CE
Normal,NORMAL,NSEFO,NYKAA,OPTSTK,24Apr2025,197.5,CE
Normal,NORMAL,NSEFO,NYKAA,OPTSTK,24Apr2025,160,PE
Normal,NORMAL,NSEFO,OBEROIRLTY,OPTSTK,24Apr2025,1720,CE
Normal,NORMAL,NSEFO,OFSS,OPTSTK,24Apr2025,8500,CE
Normal,NORMAL,NSEFO,OIL,OPTSTK,24Apr2025,410,CE
Normal,NORMAL,NSEFO,ONGC,OPTSTK,24Apr2025,250,CE
Normal,NORMAL,NSEFO,PATANJALI,OPTSTK,24Apr2025,2080,CE
Normal,NORMAL,NSEFO,PEL,OPTSTK,24Apr2025,1060,CE
Normal,NORMAL,NSEFO,PERSISTENT,OPTSTK,24Apr2025,5300,CE
Normal,NORMAL,NSEFO,PETRONET,OPTSTK,24Apr2025,315,CE
Normal,NORMAL,NSEFO,PETRONET,OPTSTK,24Apr2025,265,PE
Normal,NORMAL,NSEFO,PFC,OPTSTK,24Apr2025,450,CE
Normal,NORMAL,NSEFO,PHOENIXLTD,OPTSTK,24Apr2025,1750,CE
Normal,NORMAL,NSEFO,PNBHOUSING,OPTSTK,24Apr2025,840,PE
Normal,NORMAL,NSEFO,PNBHOUSING,OPTSTK,24Apr2025,1100,CE
Normal,NORMAL,NSEFO,POLICYBZR,OPTSTK,24Apr2025,1780,CE
Normal,NORMAL,NSEFO,POONAWALLA,OPTSTK,24Apr2025,420,CE
Normal,NORMAL,NSEFO,POWERGRID,OPTSTK,24Apr2025,322.5,CE
Normal,NORMAL,NSEFO,PRESTIGE,OPTSTK,24Apr2025,1300,CE
Normal,NORMAL,NSEFO,RBLBANK,OPTSTK,24Apr2025,195,CE
Normal,NORMAL,NSEFO,RECLTD,OPTSTK,24Apr2025,460,CE
Normal,NORMAL,NSEFO,SAIL,OPTSTK,24Apr2025,122.5,CE
Normal,NORMAL,NSEFO,SHRIRAMFIN,OPTSTK,24Apr2025,730,CE
Normal,NORMAL,NSEFO,SOLARINDS,OPTSTK,24Apr2025,12500,CE
Normal,NORMAL,NSEFO,SONACOMS,OPTSTK,24Apr2025,510,CE
Normal,NORMAL,NSEFO,SRF,OPTSTK,24Apr2025,3200,CE
Normal,NORMAL,NSEFO,SYNGENE,OPTSTK,24Apr2025,780,CE
Normal,NORMAL,NSEFO,TATAMOTORS,OPTSTK,24Apr2025,680,CE
Normal,NORMAL,NSEFO,TATAMOTORS,OPTSTK,24Apr2025,560,PE
Normal,NORMAL,NSEFO,TATAMOTORS,OPTSTK,24Apr2025,690,CE
Normal,NORMAL,NSEFO,TATAPOWER,OPTSTK,24Apr2025,400,CE
Normal,NORMAL,NSEFO,TECHM,OPTSTK,24Apr2025,1460,CE
Normal,NORMAL,NSEFO,TIINDIA,OPTSTK,24Apr2025,2900,CE
Normal,NORMAL,NSEFO,TIINDIA,OPTSTK,24Apr2025,2300,PE
Normal,NORMAL,NSEFO,TITAGARH,OPTSTK,24Apr2025,880,CE
Normal,NORMAL,NSEFO,TORNTPOWER,OPTSTK,24Apr2025,1720,CE
Normal,NORMAL,NSEFO,TRENT,OPTSTK,24Apr2025,4400,PE
Normal,NORMAL,NSEFO,TRENT,OPTSTK,24Apr2025,5300,CE
Normal,NORMAL,NSEFO,UNIONBANK,OPTSTK,24Apr2025,135,CE
Normal,NORMAL,NSEFO,UPL,OPTSTK,24Apr2025,600,PE
Normal,NORMAL,NSEFO,UPL,OPTSTK,24Apr2025,680,CE
Normal,NORMAL,NSEFO,VBL,OPTSTK,24Apr2025,610,CE
Normal,NORMAL,NSEFO,ZYDUSLIFE,OPTSTK,24Apr2025,960,CE
